Ancient Axe            9gi
Grand Matron Bow       amc
Grand Scepter          gsc
Grave Wand             9gw
Great Axe              gax
Great Bow              6cb
Great Maul             gma
Great Pilum            9pi
Great Poleaxe          7h7
Great Sword            gsd
Greater Claws          9lw
Greater Talons         9tw
Grim Scythe            9wc
Grim Wand              gwn
Halberd                hal
Hand Axe               hax
Hand Scythe            9cs
Harpoon                9ts
Hatchet                9ha
Hatchet Hands          axf
Heavenly Stone         obb
Heavy Crossbow         hxb
Hellforge Hammer       hfh
Highland Blade         7cm
Holy Water Sprinkler   9qs
Horadric Malus         hdm
Horadric Staff         hst
Hunter's Bow           hbw
Hurlbat                9b8
Hydra Bow              6lw
Hydra Edge             7fc
Hyperion Javelin       7ja
Hyperion Spear         7sr
Jagged Star            9mt
Javelin                jav
Jo Staff               8ss
Katar                  ktr
KhalimFlail            qf1
Knout                  9fl
Kriss                  kri
Lance                  9p9
Large Axe              lax
Legend Spike           7bl
Legend Sword           72h
Legendary Mallet       7wh
Lich Wand              7bw
Light Crossbow         lxb
Lochaber Axe           9b7
Long Battle Bow        lbb
Long Bow               lbw
Long Siege Bow         8l8
Long Staff             lst
Long Sword             lsd
Long War Bow           lwb
Mace                   mac
Maiden Javelin         am5
Maiden Pike            am4
Maiden Spear           am3
Mancatcher             7br
Martel de Fer          9gm
Matriarchal Bow        amb
Matriarchal Pike       ame
Matriarchal Spear      amd
MatriarchalJavelin     amf
Maul                   mau
Mighty Scepter         7sc
Military Axe           9la
Military Pick          mpi
Mithral Point          7di
Morning Star           mst
Mythical Sword         7wd
Naga                   9wa
Ogre Axe               7o7
Ogre Maul              7m7
Oil Potion             ops
Partizan               9pa
Pellet Bow             6lx
Petrified Wand         9yw
Phase Blade            7cr
Pike                   pik
Pilum                  pil
Poignard               9dg
Poleaxe                pax
Polished Wand          7wn
Quarterstaff           8ls
Quhab                  9ar
Rancid Gas Potion      gps
Razor Bow              8hb
Reflex Bow             am2
Reinforced Mace        7ma
Repeating Crossbow     rxb
Rondel                 9di
Rune Bow               8sw
Rune Scepter           9sc
Rune Staff             8ws
Rune Sword             9ls
Runic Talons           7tw
Saber                  sbr
Sacred Globe           ob2
Scepter                scp
Scimitar               scm
Scissors Katar         skr
Scissors Quhab         9qr
Scissors Suwayyah      7qr
Scourge                7fl
Scythe                 scy
Seraph Rod             7qs
Shadow Bow             6lb
Shamshir               9sb
Shillelah              6bs
Short Battle Bow       sbb
Short Bow              sbw
Short Siege Bow        8s8
Short Spear            ssp
Short Staff            sst
Short Sword            ssd
Short War Bow          swb
Siege Crossbow         8mx
Silver Edged Axe       7ba
Simbilan               9s9
Small Crescent         7ax
Smoked Sphere          ob3
Sparkling Ball         ob9
Spear                  spr
Spetum                 spt
Spiculum               9gl
Spider Bow             6sb
Spiked Club            spc
Staff of the Kings     msf
Stag Bow               am1
Stalagmite             6ls
Stilleto               9bl
Strangling Gas Potion  gpl
Stygian Pike           7tr
Stygian Pilum          7pi
SuperKhalimFlail       qf2
Suwayyah               7ar
Swirling Crystal       oba
Tabar                  9bt
Thresher               7s8
Throwing Axe           tax
Throwing Knife         tkf
Throwing Spear         tsp
Thunder Maul           7gm
Tomahawk               7ha
Tomb Wand              9bw
Trident                tri
Truncheon              7cl
Tulwar                 9fc
Tusk Sword             9gs
Twin Axe               92a
Two-Handed Sword       2hs
Tyrant Club            7sp
Unearthed Wand         7gw
Vortex Orb             obe
Voulge                 vou
Walking Stick          6ss
Wand                   wnd
War Axe                wax
War Club               9m9
War Dart               9bk
War Fist               7xf
War Fork               9br
War Hammer             whm
War Javelin            9ja
War Pike               7p7
War Scepter            wsp
War Scythe             wsc
War Spear              9sr
War Spike              7mp
War Staff              wst
War Sword              wsd
Ward Bow               6sw
Winged Axe             7b8
Winged Harpoon         7ts
Winged Knife           7bk
Wirt's Leg             leg
Wrist Blade            wrb
Wrist Spike            9wb
Wrist Sword            7wb
Yari                   9st
Yew Wand               ywn
Zweihander             9fb
decoy dagger           d33
